simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
35,1,-928.7699985826687,767.3287599997818,1.0,CLIENT,7,2,100000,17,80,0,97,122,97,0,61,21,83394.56000000004,4,False,False
35,2,-135.92915288433295,-749.0722799999983,1.0,CLIENT,7,2,100000,15,54,0,132,144,131,1,66,48,56291.32800000003,4,False,False
35,3,-672.1205490812024,-689.7387200003067,1.0,CLIENT,7,2,100000,16,43,0,154,188,151,3,65,50,44824.57600000002,4,False,False
35,4,-444.3837690448048,331.39964000014913,1.0,CLIENT,7,2,100000,18,40,0,220,232,192,28,63,74,41697.28000000002,4,False,False

36,0,529.5375215795123,888.3335999995907,1.0,CLIENT,7,2,100000,16,65,0,122,157,119,2,67,33,67758.08000000003,4,False,False
36,1,-9.505535166929432,4.786759999779235,1.0,CLIENT,7,2,100000,17,38,0,184,190,179,5,66,62,39612.41600000002,4,False,False
36,2,497.5355531846147,361.23339999996887,1.0,CLIENT,7,2,100000,15,32,0,195,198,187,7,68,76,33357.824000000015,4,False,False
36,3,431.5512965689153,-286.0923999998474,1.0,CLIENT,7,2,100000,17,38,0,175,191,167,7,66,65,39612.41600000002,4,False,False
36,4,338.6346903140516,-417.22736000018244,1.0,CLIENT,7,2,100000,18,56,0,127,160,123,3,65,33,58376.19200000003,4,False,False

37,0,-133.3151307138917,501.6079199999146,1.0,CLIENT,7,2,100000,16,73,0,147,181,127,20,58,53,76097.53600000004,4,False,False
37,1,-956.2568377729513,677.4935199995838,1.0,CLIENT,7,2,100000,17,75,0,74,81,74,0,55,3,78182.40000000004,2,False,False
37,2,911.263971316452,-131.46892000028288,1.0,CLIENT,7,2,100000,15,45,0,167,189,151,16,64,55,46909.440000000024,3,False,False
37,3,185.59557413003364,-537.6755999998147,1.0,CLIENT,7,2,100000,16,53,0,176,191,154,22,63,64,55248.89600000003,4,False,False
37,4,877.2816830956501,-736.8270800000664,1.0,CLIENT,7,2,100000,18,63,0,97,116,95,2,60,17,65673.21600000003,3,False,False

38,0,909.046013110854,-78.48060000039055,1.0,CLIENT,7,2,100000,16,30,0,152,154,150,2,66,62,31272.960000000014,4,False,False
38,1,684.9530215554033,633.1881599999165,1.0,CLIENT,7,2,100000,17,46,0,131,138,126,5,65,43,47951.872000000025,4,False,False
38,2,44.596802489967466,-109.31624000005371,1.0,CLIENT,7,2,100000,15,34,0,147,150,147,0,67,56,35442.68800000002,4,False,False
38,3,306.71193471257294,-454.9648399998216,1.0,CLIENT,7,2,100000,16,42,0,135,142,133,2,66,50,43782.14400000002,4,False,False
38,4,384.0236207353939,272.1774000001764,1.0,CLIENT,7,2,100000,18,32,0,152,152,147,5,64,55,33357.824000000015,4,False,False

39,0,-681.388445868438,901.9146400001048,1.0,CLIENT,7,2,100000,16,41,0,149,153,145,4,66,50,42739.71200000002,4,False,False
39,1,-212.44871097690478,567.2867200001965,1.0,CLIENT,7,2,100000,17,22,0,172,173,168,4,65,68,22933.504000000008,4,False,False
39,2,-922.9874646895424,-102.19175999984884,1.0,CLIENT,7,2,100000,15,61,0,121,134,120,1,67,34,63588.352000000035,4,False,False
39,3,-102.65977980092421,285.2018399997229,1.0,CLIENT,7,2,100000,16,24,0,170,171,166,4,66,73,25018.36800000001,4,False,False
39,4,157.3166070089392,327.1694799997556,1.0,CLIENT,7,2,100000,18,47,0,124,148,121,3,63,42,48994.304000000026,4,False,False

