number_of_nodes,number_of_nodes,number_of_nodes,number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
22,22,22,22,1785781602.0667741,1556,1800000,100000,6,285,1556,32676,29547,19534,4959,14575,21,13598,106463.34685403886,0.027140085656565668,0.0007107320540156361,0.8285714285714286,0.25386505580014335,0.0,380,380,0,5.459649122807018,0.6611161877686398,17.4
22,22,22,22,1785781614.704601,1489,1800000,100000,6,287,1489,31269,28099,19414,5033,14381,45,13325,97067.35451927091,0.02721905777777779,0.0016014804797323749,0.835075493612079,0.25924590501699807,0.0,380,380,0,5.188153310104529,0.6909142674116516,17.536585365853657
22,22,22,22,1785781627.3801348,1489,1800000,100000,6,287,1489,31269,28252,19511,5073,14438,23,13378,93422.37396853552,0.027140085656565668,0.0008141016565198924,0.8417122946739671,0.26000717543949564,0.0,380,380,0,5.188153310104529,0.6906059747982444,17.67595818815331
22,22,22,22,1785781643.869537,1649,1800000,100000,6,286,1649,34629,31226,19441,4921,14520,0,13671,117881.26525655286,0.027087437575757593,0.0,0.8193473193473193,0.25312483925723983,0.0,380,380,0,5.765734265734266,0.6225901492346122,17.206293706293707
32,32,32,32,1785781679.424088,3886,1800000,100000,6,399,3886,120466,112203,33503,8554,24949,62,24357,249449.84036735533,0.021120106666666676,0.0005525698956355891,0.6915676287492926,0.25532041906694924,0.0,870,870,0,9.739348370927319,0.29859272924966357,21.43859649122807
32,32,32,32,1785781712.532248,4085,1800000,100000,6,402,4085,126635,118298,32983,8437,24546,37,23981,266613.09512753115,0.02066766222222223,0.00031276944665167627,0.6770181351307977,0.25579844162144133,0.0,870,870,0,10.161691542288557,0.27881282861924966,20.987562189054728
32,32,32,32,1785781745.911493,4080,1800000,100000,6,398,4080,126480,118213,33495,8526,24969,69,24506,256214.32733385626,0.020975324444444454,0.0005836921489176317,0.6910358242827038,0.2545454545454545,0.0,870,870,0,10.251256281407036,0.28334447142023295,21.42211055276382
32,32,32,32,1785781779.0535529,3895,1800000,100000,6,399,3895,120745,112591,33361,8523,24838,112,24321,245402.36417852144,0.02104771555555557,0.0009947509125951453,0.6890613630851322,0.25547795329876205,0.0,870,870,0,9.761904761904763,0.29630254638470216,21.360902255639097
32,32,32,32,1785781811.157749,4036,1800000,100000,6,397,4036,125116,117004,33150,8439,24711,71,24268,260791.20710176355,0.020758151111111123,0.0006068168609620184,0.6857073210368083,0.2545701357466063,0.0,870,870,0,10.16624685138539,0.28332364705480156,21.256926952141058
32,32,32,32,1785781844.534817,4025,1800000,100000,6,397,4025,124775,116290,33813,8555,25258,131,24613,253241.38628189833,0.021319182222222233,0.0011264941095537019,0.6951328512228813,0.25300919764587587,0.0,870,870,0,10.138539042821158,0.29076446813999485,21.54911838790932
